Species,NCBI Taxon ID
Orthobunyavirus matruhense,3052419
Avian orthoreovirus,38170
Orthobunyavirus thimiriense,3052449
Orthonairovirus abuhammadense,2843617
Orthonairovirus abuminaense,2843618
Orthobunyavirus sedlecense,3052438
Khurdivirus volgaense,2956058
Orthobunyavirus balagoduense,3060464
Belem virus,2748241
Orthobunyavirus batamaense,3052372
Orthobunyavirus bobayaense,3060467
Paraavulavirus hongkongense,3052593
Parvoviridae sp.,1940570
Picornaviridae sp.,1530251
Grusopivirus A,2734536
Grusopivirus B,2734537
Gemycircularvirus sp.,1983771
Chicken associated smacovirus,1932006
Calicivirus chicken/V0021/Bayern/2004,889389
Grusopivirus C,2844787
Psittacine aviadenovirus C,2734577
Iltovirus gallidalpha1,3050286
Mardivirus gallidalpha3,3050288
Chaphamaparvovirus galliform1,3052106
Gruhelivirus A,2734535
Chaphamaparvovirus galliform3,3052108
Anativirus biphaco,2734519
Avian paramyxovirus 17,2094282
Chaphamaparvovirus galliform2,3052107
Pigeon parvovirus A,1399967
Pingu picornavirus,2575832
Gyrovirus myferr1,2844807
Psittacine siadenovirus E,2845977
Avian metaavulavirus 21,2613793
Psittacine siadenovirus D,2845976
Nyavirus sanjacintoense,2845026
Chaphamaparvovirus galliform4,3052109
Chaphamaparvovirus galliform5,3052110
Chaphamaparvovirus psittacine1,3052112
Porprismacovirus avias1,2845875
Gemykrogvirus galga5,2844632
Gemykrogvirus galga3,2844630
Gemykibivirus galga3,2844572
Gemykrogvirus galga1,2844628
Gemykibivirus galga1,2844570
Gemykrogvirus galga4,2844631
Gemykibivirus galga2,2844571
Porprismacovirus chicas2,2845885
Porprismacovirus chicas4,2845887
Porprismacovirus chicas6,2845889
Porprismacovirus chicas7,2845890
Porprismacovirus chicas3,2845886
Porprismacovirus chicas5,2845888
Genomoviridae sp.,2202565
Smacoviridae sp.,2715094
Paslahepevirus balayani,1678143
Nyavirus somateriae,2956231
Aviadenovirus leucophthalmi,2955388
Nauglamirvirus anduin,2956213
Sunrhavirus nasoule,2956485
Sunrhavirus ouango,2956483
Sunrhavirus alexandria,2956478
Sunrhavirus matariya,2956482
Cacatuid alphaherpesvirus 2,2604840
Pileated finch aveparvovirus,2137544
Iltovirus psittacidalpha5,3060048
Avian chapparvovirus,2604334
Dependoparvovirus avian1,1511894
Chaphamaparvovirus anseriform4,3059860
Chaphamaparvovirus anseriform1,3059857
Chaphamaparvovirus anseriform2,3059858
Chaphamaparvovirus anseriform3,3059859
Chaphamaparvovirus strigiform1,3059872
Chaphamaparvovirus anseriform5,3059861
Chaphamaparvovirus anseriform6,3059862
Rhabdoviridae sp.,1955137
Cyclovirus totoi,3059946
Cyclovirus pettirosso,3059936
Cyclovirus punarinta,3059940
Cyclovirus rudzik,3059942
Cyclovirus prihor,3059938
Cyclovirus cervienka,3059916
Cyclovirus liepsnele,3059924
WigFec circovirus 1,2873951
WigFec circovirus 2,2873952
Phapecoctavirus TSP7,2956303
Poecivirus A,2560644
Uukuvirus uriae,3052810
Sunrhavirus garba,2734404
Circovirus penguin,3048261
Quaranjavirus chadense,2956349
Avian coronavirus,694014
Canada goose coronavirus,2569586
Quailpox virus,400570
Great tit siadenovirus A,1146876
Nacovirus A,2560612
Orthobunyavirus ingwavumaense,3052400
Orthobunyavirus mermetense,3052421
Chicken stool associated circular virus 2,2109374
Chicken stool associated circular virus 1,2109373
Chicken picobirnavirus,1930304
Apteryx rowi circovirus-like virus,1634476
Serinus canaria papillomavirus 1,2094713
Aveparvovirus gruiform1,3051984
Cyclovirus naahoohai,3047745
Adeno-associated virus,272636
Ludopivirus A,2734539
Gyrovirus hydho1,2844806
Orthonairovirus tunisense,3052539
Metaavulavirus kazakhstanense,3051369
Blackbird arilivirus,2099352
Avian HDV-like agent,2364132
Bulbul coronavirus HKU11,574549
Orthobornavirus estrildidae,1548721
Tupavirus durham,1972581
Avisivirus A,1511772
Kunsagivirus A,1755590
Fowl aviadenovirus E,190065
Cyclovirus adie,3047744
Megrivirus B,2170005
Megrivirus E,2170008
Metaavulavirus japanense,3051366
Orthoavulavirus upoense,3051378
Orthoavulavirus borisense,3051379
Orthoavulavirus kopaiticense,3051380
Orthoavulavirus oneillense,3051381
Psittacine aviadenovirus B,2169709
Gammapolyomavirus egouldiae,2955939
Gammapolyomavirus lonmaja,2169904
Huchismacovirus chicas1,2844965
Huchismacovirus chicas2,2844966
Orthobunyavirus teteense,3052448
Orthobornavirus alphapsittaciforme,1548713
Orthobornavirus betapsittaciforme,1884878
Metaavulavirus hongkongense,3051372
Metaavulavirus delawarense,3051374
Orthoavulavirus javaense,3051375
Metaavulavirus yucaipaense,3051368
Megrivirus C,2170006
Flamingopox virus FGPVKD09,2059380
Falcon picornavirus,1964370
Garrulus glandarius associated circular virus 1,2006642
Tinamou hepatitis B virus,2018685
Metaavulavirus peixense,3051367
Cyclovirus kacsa,3047812
Megrivirus D,2170007
Hapavirus landjia,1972618
Goose astrovirus,1349999
Mardivirus columbidalpha1,3050267
Megrivirus A,2170004
Jingmen tombus-like virus 1,1923351
Jingmen tombus-like virus 2,1938656
Mardivirus spheniscidalpha1,3048326
Jingmen picorna-like virus,1923350
Bavaria virus,2560343
Gemykrogvirus galga2,2844629
Chicken stool-associated circular virus,1930302
Pigeon aviadenovirus B,2169708
Orthobornavirus serini,1548720
Orthobornavirus avisaquaticae,1548722
Orthoavulavirus japanense,3051377
Penguin siadenovirus A,2005055
Duck faeces associated circular DNA virus 1,1843768
Duck faeces associated circular DNA virus 2,1843769
Duck faeces associated circular DNA virus 3,1843770
Gemygorvirus malas1,2844550
Gemykibivirus sewopo1,2844603
Gemycircularvirus chicas2,2844428
Gemycircularvirus chicas1,2844427
Gallivirus Pf-CHK1/GV,1766557
Avisivirus Pf-CHK1/AsV,1766559
Sicinivirus A,1755588
Turkeypox virus,336486
Gemycircularvirus chickad1,2844429
Gyrovirus fulgla1,2844799
Astrovirus Er/SZAL6/HUN/2011,1671382
Circovirus zebrafinch,3048458
Harkavirus A,2003391
Orthoflavivirus cacipacoreense,3052463
Gammapolyomavirus padeliae,1891750
Psittacine atadenovirus A,2003673
Quaranjavirus wellfleetense,2956351
Gemytondvirus ostri1,2844644
Gemygorvirus stara1,2844555
Gemykibivirus blabi1,2844561
Gemykibivirus blaro1,2844562
Gemycircularvirus malas1,2844476
Gemycircularvirus geras1,2844445
Gemycircularvirus geras2,2844446
Gemycircularvirus geras3,2844447
Orivirus A,2170052
Orthoavulavirus newyorkense,3051383
Sunrhavirus sunguru,2734408
Metaavulavirus galliense,3051365
Metaavulavirus tennessense,3051373
Metaavulavirus falklandense,2560309
Metaavulavirus kunitachiense,3051371
Orthoavulavirus italiense,3051376
Paraavulavirus wisconsinense,3052594
Farmington virus,1027468
Circovirus swan,3048350
Chicken picornavirus 1,1534544
Avisivirus B,1985982
Avisivirus C,1985983
Chicken picornavirus 4,1534547
Gallivirus A,1511776
Duck aviadenovirus B,1534553
Umatilla virus,40060
Pigeon aviadenovirus A,1548417
Penguinpox virus,648998
Pigeonpox virus,10264
Treiszetapapillomavirus 1,1922208
Goose calicivirus,1493858
Aalivirus apekidu,2169685
Mosavirus A,1481452
Treisepsilonpapillomavirus 1,1921778
Cyanoramphus nest associated circular X DNA virus,1282443
Cyanoramphus nest associated circular K DNA virus,1282444
Porprismacovirus turas1,2845936
Melegrivirus A,1330070
Gammapolyomavirus cratorquatus,1891749
Turkey aviadenovirus C,1962301
Turkey aviadenovirus D,1962302
Rotavirus F,183405
Rotavirus G,183407
Fowl aviadenovirus B,190062
Gammapolyomavirus secanaria,1891752
Goose aviadenovirus A,1193420
White-eye coronavirus HKU16,1159907
Sparrow coronavirus HKU17,1159906
Magpie-robin coronavirus HKU18,1159903
Night heron coronavirus HKU19,1159904
Wigeon coronavirus HKU20,1159908
Common moorhen coronavirus HKU21,1159902
Parrot hepatitis B virus,1128118
Skua siadenovirus A,886980
Quail picornavirus QPV1/HUN/2010,1089138
Orthoflavivirus tembusu,3048360
Pigeon picornavirus B,928289
Raptor siadenovirus A,691961
Gyrovirus galga1,2844800
Fowl aviadenovirus C,190063
Avian leukosis virus,11864
Turkey aviadenovirus B,1146875
Rotavirus D,335100
Passerivirus A,1511803
Oscivirus A,1511781
Mardivirus anatidalpha1,3049524
Highlands J virus,11024
Duck astrovirus GII.A,905828
Thrush coronavirus HKU12-600,572290
Munia coronavirus HKU13,1297661
Circovirus gull,3047861
Circovirus finch,3047835
Circovirus raven,3048293
Circovirus starling,3048341
Gammapolyomavirus corvi,1891748
Gammapolyomavirus pypyrrhula,1891751
Alphainfluenzavirus influenzae,2955291
Circovirus duck,3047813
Reticuloendotheliosis virus,11636
Dependoparvovirus anseriform1,1511895
Avian endogenous retrovirus EAV-HP,93465
Duck hepatitis B virus,12639
Iltovirus psittacidalpha1,3050344
Thetapapillomavirus 1,197772
Circovirus goose,3047842
Circovirus canary,3047720
Mardivirus meleagridalpha1,3050320
Circovirus pigeon,3050342
Mardivirus gallidalpha2,3050287
Turkey astrovirus,70793
Avibirnavirus gumboroense,3048151
Orthoflavivirus wesselsbronense,3048447
Gyrovirus chickenanemia,3047743
Orthoflavivirus japonicum,3048158
Goose astrovirus 2,2810457
Orthoflavivirus nilense,3048448
Fowl aviadenovirus D,190064
Chicken genomovirus,1985367 
Microbacterium phage P8_2022_SA,Not found
Pigeon gyrovirus,2766787
Gyrovirus homsa3,2844804
Fowl aviadenovirus A,190061
Burhinus oedicnemus herpesvirus,548681
Pigeon adenovirus,10535
Metapneumovirus avis,3047384
Java sparrow circovirus,39725
Red-fronted serin circovirus,39725
Hawfinch circovirus,39725
Gouldian finch circovirus,1221219
Crow circovirus,39725
Magpie circovirus,39725
European goldfinch circovirus,39725
Purple grenadier circovirus,39725
Bengalese munia circovirus,39725
White-rumped seedeater circovirus,39725
Common grenadier circovirus,39725
Common bullfinch circovirus,39725
Eurasian blackcap circovirus,39725
Common crossbill circovirus,39725
Yellow-fronted canary circovirus,142661
Common blackbird circovirus,39725
Common starling circovirus,349370
Eurasian jay circovirus,39725
Western jackdaw circovirus,39725
Mynah circovirus,39725
Lavender waxbill polyomavirus,36362
Fowlpox virus,10261
Duck atadenovirus A,130328
Atadenovirus sp.,2671518
Aviadenovirus sp.,2217649
Psittacine adenovirus 2,1301246
Siadenovirus sp.,2671519
Duck astrovirus 3,1897654
Duck hepatitis virus 3,352474
Sindbis virus,11034
Gammapolyomavirus avis,1891747
Avihepatovirus A,691956
Circovirus parrot,3047561
Orthoflavivirus bagazaense,3047385
Deltacoronavirus sp.,1911231
Aveparvovirus galliform1,3051983
Aviadenovirus hydropericardii,3250174
Buldecovirus sp.,2832629
Fowl adenovirus,1354736
Rotavirus A,28875
Avian avastrovirus 4,3242737
Turkey siadenovirus A,298333
Avipoxvirus sp.,1928336
Avian astrovirus,1914440
Tremovirus A,70796
Avian nephritis virus,1354735
Orthoflavivirus usutuense,3048443
Anatid alphaherpesvirus 2,3080522
Anatid alphaherpesvirus 3,3233541
Chicken proventricular necrosis virus,908207
Avihepevirus magniiecur,1678144
Ostrich parvovirus,2699166
Porcine epidemic diarrhea virus,28295
Duck sapelovirus,3163392
Megrivirus sp.,2809560
Crucivirus sp.,2569971
Tick-associated DNA virus,3138950
CRESS DNA virus,3138951
Psittaciform aveparvovirus,3042447
Tick-associated circular DNA virus,2963861
Sewage-associated circular DNA virus,3138952
Psittacine siadenovirus F,2874383
Circovirus sp.,1964372
Cressdnaviricota sp.,2748378
Chimeric virus 14,1608440
Paramecium bursaria Chlorella virus,3138953
